,Smiles,pred_new
15000,*c1ccc2[nH]c3ccc(N4C(=O)c5cc6c(cc5C4=O)C(C)(C)CC4(CC(C)(C)c5cc7c(cc5O4)C(=O)N(*)C7=O)O6)cc3c2c1,361.61322
15002,*c1ccc2[nH]c3ccc(N4C(=O)c5cc6c(cc5C4=O)C4(C)c5ccccc5C6(C)c5cc6c(cc54)C(=O)N(*)C6=O)cc3c2c1,373.23007
15005,*c1ccc2[nH]c3ccc(N4C(=O)[C@H]5[C@@H](C4=O)C4(NC(=O)c6ccccc6)C=C6CCCCC65[C@@H]5C(=O)N(*)C(=O)[C@@H]54)cc3c2c1,355.32562
15009,*c1ccc2[nH]c3ccc(N4C(=O)c5ccc6c7c(-n8c9ccccc9c9ccccc98)cc8c9c(ccc(c%10c(-n%11c%12ccccc%12c%12ccccc%12%11)cc(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3c2c1,375.7371
15013,*c1ccc2[nH]c3ccc(N4C(=O)[C@H]5[C@@H](C4=O)C4(NC(=O)c6ccccc6)C(C)=CC5(c5cccs5)[C@@H]5C(=O)N(*)C(=O)[C@@H]54)cc3c2c1,403.43918
15018,*c1ccc2[nH]c3ccc(N4C(=O)c5ccc6c7c(N(C)C)cc8c9c(ccc(c%10c(N(C)C)cc(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3c2c1,393.28818
15020,*c1ccc2[nH]c3ccc(N4C(=O)C5CC6C=CC5(C4=O)C4C(=O)N(*)C(=O)C64)cc3c2c1,366.08005
15021,*c1ccc2[nH]c3ccc(N4C(=O)c5ccc6c7c(C#CC(c8ccccc8)(c8ccccc8)c8ccccc8)cc8c9c(ccc(c%10c(C#CC(c%11ccccc%11)(c%11ccccc%11)c%11ccccc%11)cc(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3c2c1,368.2252
15027,*c1ccc2[nH]c3ccc(N4C(=O)c5cc(C#CC(c6ccccc6)(c6ccccc6)c6ccccc6)c6c7ccc8c9c(ccc(c%10c(C#CC(c%11ccccc%11)(c%11ccccc%11)c%11ccccc%11)cc(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3c2c1,368.33182
15029,*c1ccc2[nH]c3ccc(N4C(=O)c5cc6c(cc5C4=O)C4(C(C)C)c5ccccc5C6(C(C)C)c5cc6c(cc54)C(=O)N(*)C6=O)cc3c2c1,388.7255
15032,*c1ccc2[nH]c3ccc(N4C(=O)c5ccc6c7c(Br)cc8c9c(cc(Br)c(c%10c(Br)cc(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3c2c1,397.92767
15033,*c1ccc2[nH]c3ccc(N4C(=O)[C@H]5[C@@H](C4=O)C4(NC(=O)c6ccccc6)C=CC5(c5cccs5)[C@@H]5C(=O)N(*)C(=O)[C@@H]54)cc3c2c1,408.34592
15050,*c1ccc2[nH]c3ccc(N4C(=O)c5ccc6c7c(-c8ccc([N+](=O)[O-])cc8)cc8c9c(ccc(c%10c(-c%11ccc([N+](=O)[O-])cc%11)cc(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3c2c1,380.83206
15051,*c1ccc2[nH]c3ccc(N4C(=O)c5cnc6c7ncc8c9c(cnc(c%10ncc(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3c2c1,426.2723
15054,*c1ccc2[nH]c3ccc(N(C(=O)C=CC(=O)O)C(=O)c4cc(C(=O)N(*)C(=O)C=CC(=O)O)c(C(=O)O)cc4C(=O)O)cc3c2c1,389.75656
15058,*c1ccc2[nH]c3ccc(N4C(=O)c5ccc([Si](c6ccccc6)(c6ccccc6)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3c2c1,369.46298
15059,*c1ccc2[nH]c3ccc(N4C(=O)C5CC6C(CC5C4=O)C4C(=O)N(*)C(=O)C64)cc3c2c1,364.2065
15060,*c1ccc2[nH]c3ccc(N4C(=O)C5CCC6C7CCC8C(=O)N(*)C(=O)C9CCC(C%10CCC(C4=O)C5C6%10)C7C89)cc3c2c1,368.06357
15064,*c1ccc2[nH]c3ccc(N4C(=O)[C@H]5[C@@H]6C[C@@H](C7C6[C@H]6C[C@@H]7[C@@H]7C(=O)N(*)C(=O)[C@@H]76)[C@H]5C4=O)cc3c2c1,350.6793
15072,*c1ccc2[nH]c3ccc(N4C(=O)c5c(Br)c(Br)c6c7c(Br)c(Br)c8c9c(c(Br)c(Br)c(c%10c(Br)c(Br)c(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3c2c1,404.04617
15074,*c1ccc2[nH]c3ccc(N4C(=O)C5C6C(=O)N(*)C(=O)C6(C)C5(C)C4=O)cc3c2c1,363.7106
15075,*c1ccc2[nH]c3ccc(N4C(=O)C5CC(C4=O)C4C6CC(C(=O)N(*)C6=O)C54)cc3c2c1,369.4821
15076,*c1ccc2[nH]c3ccc(N4C(=O)CC5C6CC(C5C4=O)C4C(=O)N(*)C(=O)C64)cc3c2c1,366.79218
15082,*c1ccc2[nH]c3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3c2c1,387.21945
15083,*c1ccc2[nH]c3ccc(N4C(=O)c5ccc(S(=O)(=O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3c2c1,367.7615
15084,*c1ccc2[nH]c3ccc(N4C(=O)C5CC6C(=O)N(*)C(=O)C6C5C4=O)cc3c2c1,351.84598
15087,*c1ccc2[nH]c3ccc(N4C(=O)c5cccc(-c6ccc7c(c6)C(=O)N(*)C7=O)c5C4=O)cc3c2c1,383.47607
15089,*c1ccc2[nH]c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3c2c1,354.13754
15094,*c1ccc2[nH]c3ccc(N4C(=O)C5CC(C4=O)C4C(=O)N(*)C(=O)CC54)cc3c2c1,354.69165
15098,*c1ccc2[nH]c3ccc(N4C(=O)c5ccc6c7c(Br)cc8c9c(ccc(c%10c(Br)cc(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3c2c1,396.84232
15100,*c1ccc2[nH]c3ccc(N4C(=O)c5cccc(-c6cccc7c6C(=O)N(*)C7=O)c5C4=O)cc3c2c1,390.5356
15104,*c1ccc2[nH]c3ccc(N4C(=O)C5C6C(C)=CC(C)(C7C(=O)N(*)C(=O)C67)C5C4=O)cc3c2c1,354.1118
15105,*c1ccc2[nH]c3ccc(N4C(=O)c5ccc6c7c(cc(Br)c(c57)C4=O)C(=O)N(*)C6=O)cc3c2c1,407.73462
15108,*c1ccc2[nH]c3ccc(N4C(=O)c5ccc([13C](=O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3c2c1,364.56003
15109,*c1ccc2[nH]c3ccc(N4C(=O)c5cc(Oc6ccccc6C)c(-c6cc7c(cc6Oc6ccccc6C)C(=O)N(*)C7=O)cc5C4=O)cc3c2c1,356.81302
15110,*c1ccc2[nH]c3ccc(N4C(=O)c5cc(Oc6ccccc6C)c(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3c2c1,352.8182
15115,*c1ccc2[nH]c3ccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3c2c1,362.87527
15116,*c1ccc2[nH]c3ccc(N4C(=O)C5OC6C(=O)N(*)C(=O)C6C5C4=O)cc3c2c1,358.69522
15119,*c1ccc2[nH]c3ccc(N4C(=O)C5C6CCC(C7C(=O)N(*)C(=O)C67)C5C4=O)cc3c2c1,358.49
15121,*c1ccc2[nH]c3ccc(N4C(=O)c5cc(Br)c6c7c(cc(Br)c(c57)C4=O)C(=O)N(*)C6=O)cc3c2c1,407.81964
15124,*c1ccc2[nH]c3ccc(N4C(=O)c5cccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)c5C4=O)cc3c2c1,375.1829
15127,*c1ccc2[nH]c3ccc(N4C(=O)C5C6(C)C(=O)N(*)C(=O)C6C5(C)C4=O)cc3c2c1,352.34973
15128,*c1ccc2[nH]c3ccc(N4C(=O)C5C6CC(C7C(=O)N(*)C(=O)C67)C5C4=O)cc3c2c1,365.30106
15133,*c1c(C)c(C)c(N2C(=O)c3ccc4c5c(ccc(c35)C2=O)C(=O)N(*)C4=O)c(C)c1C,412.7724
15134,*c1c(C)c(C)c(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c(C)c1C,411.2839
15135,*c1c(C)c(C)c(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c(C)c1C,417.5131
15138,*c1c(C)c(C)c(N2C(=O)c3cc(Cl)c4c5c(Cl)cc6c7c(cc(Cl)c(c8c(Cl)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c(C)c1C,426.79947
15147,*c1c(C)c(C)c(N2C(=O)[C@H]3[C@@H](C2=O)C2(NC(=O)c4ccccc4)C=CC3(c3ccccc3)[C@@H]3C(=O)N(*)C(=O)[C@@H]32)c(C)c1C,385.14832
15148,*c1c(C)c(C)c(N2C(=O)[C@H]3[C@@H](C2=O)C2(NC(=O)c4ccccc4)C(C)=CC3(c3ccccc3)[C@@H]3C(=O)N(*)C(=O)[C@@H]32)c(C)c1C,379.36252
15150,*c1c(C)c(C)c(N2C(=O)C3=CC45C(=O)N(*)C(=O)C46C=C(C2=O)C3(C)C56C)c(C)c1C,382.11148
15153,*c1c(C)c(C)c(N2C(=O)[C@H]3[C@@H](C2=O)C2(NC(=O)c4ccccc4)C=CC3(c3ccco3)[C@@H]3C(=O)N(*)C(=O)[C@@H]32)c(C)c1C,382.46225
15154,*c1c(C)c(C)c(N(C(=O)c2ccccc2C(=O)O)C(=O)c2ccccc2C(=O)N(*)C(=O)c2ccccc2C(=O)O)c(C)c1C,416.2369
15155,*c1c(C)c(C)c(N2C(=O)[C@H]3[C@@H](C2=O)C2(NC(=O)c4ccccc4)C=C(C(C)=O)C3(C)[C@@H]3C(=O)N(*)C(=O)[C@@H]32)c(C)c1C,374.65268
15163,*c1c(C)c(C)c(N2C(=O)c3ccc4c5c(N(c6ccccc6)c6ccccc6)cc6c7c(ccc(c8c(N(c9ccccc9)c9ccccc9)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c(C)c1C,400.9223
15166,*c1c(C)c(C)c(N(C(=O)c2ccccc2)C(=O)c2ccc(Oc3ccc(C(=O)N(*)C(=O)c4ccccc4)cc3)cc2)c(C)c1C,372.64258
15167,*c1c(C)c(C)c(N2C(=O)c3ccc4c5c(Br)cc6c7c(cc(Br)c(c8ccc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c(C)c1C,424.24313
15169,*c1c(C)c(C)c(N2C(=O)[C@H]3[C@@H](C2=O)C2(NC(=O)c4ccccc4)C=CC3(C)[C@@H]3C(=O)N(*)C(=O)[C@@H]32)c(C)c1C,381.70633
15171,*c1c(C)c(C)c(N2C(=O)c3cc(Br)c4c5c(Br)cc6c7c(cc(Br)c(c8c(Br)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c(C)c1C,426.9963
15172,*c1c(C)c(C)c(N2C(=O)c3ccc([Si](C)(c4ccccc4)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c(C)c1C,372.9626
15173,*c1c(C)c(C)c(N2C(=O)c3cc4c(cc3C2=O)C(C(F)(F)F)(C(F)(F)F)c2cc3c(cc2O4)C(=O)N(*)C3=O)c(C)c1C,411.64542
15176,*c1c(C)c(C)c(N2C(=O)c3ccc(N=Nc4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c(C)c1C,429.89322
15181,*c1c(C)c(C)c(N2C(=O)c3cc4c(cc3C2=O)Oc2cc3c(cc2C4)C(=O)N(*)C3=O)c(C)c1C,389.27536
15183,*c1c(C)c(C)c(N(C(=O)N/C=C/NC(=O)N(*)C(=O)c2ccc(C)cc2)C(=O)c2ccc(C)cc2)c(C)c1C,407.98642
15193,*c1c(C)c(C)c(N2C(=O)c3ccc4c5ccc6c7c(cnc(c8ncc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c(C)c1C,444.5087
15194,*c1c(C)c(C)c(N2C(=O)c3cc4c(cc3C2=O)C(C)(C)CC2(CC(C)(C)c3cc5c(cc3O2)C(=O)N(*)C5=O)O4)c(C)c1C,383.3229
15195,*c1c(C)c(C)c(N2C(=O)c3ccc(Oc4cccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)c4-c4ccccc4)cc3C2=O)c(C)c1C,373.2791
15196,*c1c(C)c(C)c(N2C(=O)c3cc4c(cc3C2=O)C2(C)c3ccccc3C4(C)c3cc4c(cc32)C(=O)N(*)C4=O)c(C)c1C,403.18195
15203,*c1c(C)c(C)c(N2C(=O)c3ccc4c5c(-n6c7ccccc7c7ccccc76)cc6c7c(ccc(c8c(-n9c%10ccccc%10c%10ccccc%109)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c(C)c1C,411.51788
15207,*c1c(C)c(C)c(N2C(=O)[C@H]3[C@@H](C2=O)C2(NC(=O)c4ccccc4)C(C)=CC3(c3cccs3)[C@@H]3C(=O)N(*)C(=O)[C@@H]32)c(C)c1C,377.72745
15209,*c1c(C)c(C)c(N2C(=O)c3cc(Oc4ccccc4)c4c5c(Oc6ccccc6)cc6c7c(cc(Oc8ccccc8)c(c8c(Oc9ccccc9)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c(C)c1C,350.50528
15212,*c1c(C)c(C)c(N2C(=O)c3ccc4c5c(N(C)C)cc6c7c(ccc(c8c(N(C)C)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c(C)c1C,426.3765
15215,*c1c(C)c(C)c(N2C(=O)c3ccc4c5c(C#CC(c6ccccc6)(c6ccccc6)c6ccccc6)cc6c7c(ccc(c8c(C#CC(c9ccccc9)(c9ccccc9)c9ccccc9)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c(C)c1C,394.48398
15218,*c1c(C)c(C)c(N2C(=O)c3ccc4ccccc4c3-c3c(ccc4ccccc34)C(=O)N(*)C(=O)c3ccc4ccccc4c3-c3c(ccc4ccccc34)C2=O)c(C)c1C,380.79068
15221,*c1c(C)c(C)c(N2C(=O)c3cc(C#CC(c4ccccc4)(c4ccccc4)c4ccccc4)c4c5ccc6c7c(ccc(c8c(C#CC(c9ccccc9)(c9ccccc9)c9ccccc9)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c(C)c1C,395.07376
15223,*c1c(C)c(C)c(N2C(=O)c3cc4c(cc3C2=O)C2(C(C)C)c3ccccc3C4(C(C)C)c3cc4c(cc32)C(=O)N(*)C4=O)c(C)c1C,377.5605
15226,*c1c(C)c(C)c(N2C(=O)c3ccc4c5c(Br)cc6c7c(cc(Br)c(c8c(Br)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c(C)c1C,423.05914
15227,*c1c(C)c(C)c(N2C(=O)[C@H]3[C@@H](C2=O)C2(NC(=O)c4ccccc4)C=CC3(c3cccs3)[C@@H]3C(=O)N(*)C(=O)[C@@H]32)c(C)c1C,383.0933
15229,*c1c(C)c(C)c(N2C(=O)c3cc4c(cc3C2=O)C2(CC(C)(C)c3cc5c(cc32)C(=O)N(*)C5=O)CC4(C)C)c(C)c1C,359.09995
15244,*c1c(C)c(C)c(N2C(=O)c3ccc4c5c(-c6ccc([N+](=O)[O-])cc6)cc6c7c(ccc(c8c(-c9ccc([N+](=O)[O-])cc9)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c(C)c1C,420.03796
15245,*c1c(C)c(C)c(N2C(=O)c3cnc4c5ncc6c7c(cnc(c8ncc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c(C)c1C,448.2939
15246,*c1c(C)c(C)c(N2C(=O)c3ccc(C(OC(=O)NC(=O)C(=C)C)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c(C)c1C,401.97745
15248,*c1c(C)c(C)c(N(C(=O)C=CC(=O)O)C(=O)c2cc(C(=O)N(*)C(=O)C=CC(=O)O)c(C(=O)O)cc2C(=O)O)c(C)c1C,432.30276
15252,*c1c(C)c(C)c(N2C(=O)c3ccc([Si](c4ccccc4)(c4ccccc4)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c(C)c1C,398.60544
15266,*c1c(C)c(C)c(N2C(=O)c3c(Br)c(Br)c4c5c(Br)c(Br)c6c7c(c(Br)c(Br)c(c8c(Br)c(Br)c(c3c48)C2=O)c75)C(=O)N(*)C6=O)c(C)c1C,412.16995
15275,*c1c(C)c(C)c(N2C(=O)c3cc4cc5c(cc4cc3C2=O)Cc2cc3cc4c(cc3cc2C5)C(=O)N(*)C4=O)c(C)c1C,374.63486
15276,*c1c(C)c(C)c(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c(C)c1C,435.91382
15277,*c1c(C)c(C)c(N2C(=O)c3ccc(S(=O)(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c(C)c1C,412.90842
15279,*c1c(C)c(C)c(N(C(=O)N/C=C/NC(=O)N(*)C(=O)C(Cl)(Cl)Cl)C(=O)C(Cl)(Cl)Cl)c(C)c1C,354.708
15281,*c1c(C)c(C)c(N2C(=O)c3cccc(-c4ccc5c(c4)C(=O)N(*)C5=O)c3C2=O)c(C)c1C,425.67514
15283,*c1c(C)c(C)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(C)c1C,383.02145
15292,*c1c(C)c(C)c(N2C(=O)c3ccc4c5c(Br)cc6c7c(ccc(c8c(Br)cc(c3c48)C2=O)c75)C(=O)N(*)C6=O)c(C)c1C,416.13162
15293,*c1c(C)c(C)c(N2C(=O)c3ccc(Cc4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c(C)c1C,366.38214
15294,*c1c(C)c(C)c(N2C(=O)c3cccc(-c4cccc5c4C(=O)N(*)C5=O)c3C2=O)c(C)c1C,421.94254
15296,*c1c(C)c(C)c(N(C(C)=O)C(=O)c2ccc(C(=O)N(*)C(C)=O)cc2)c(C)c1C,396.25644
15299,*c1c(C)c(C)c(N2C(=O)c3ccc4c5c(cc(Br)c(c35)C2=O)C(=O)N(*)C4=O)c(C)c1C,427.8441
15300,*c1c(C)c(C)c(N2C(=O)c3ccc(C4(c5ccc6c(c5)C(=O)N(*)C6=O)c5ccccc5-c5ccccc54)cc3C2=O)c(C)c1C,363.95825
15302,*c1c(C)c(C)c(N2C(=O)c3ccc([13C](=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c(C)c1C,411.2839
15303,*c1c(C)c(C)c(N2C(=O)c3cc(Oc4ccccc4C)c(-c4cc5c(cc4Oc4ccccc4C)C(=O)N(*)C5=O)cc3C2=O)c(C)c1C,400.22464
15304,*c1c(C)c(C)c(N2C(=O)c3cc(Oc4ccccc4C)c(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c(C)c1C,398.47473
15309,*c1c(C)c(C)c(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c(C)c1C,402.696
15315,*c1c(C)c(C)c(N2C(=O)c3cc(Br)c4c5c(cc(Br)c(c35)C2=O)C(=O)N(*)C4=O)c(C)c1C,426.66336
15318,*c1c(C)c(C)c(N2C(=O)c3cccc(Oc4ccc5c(c4)C(=O)N(*)C5=O)c3C2=O)c(C)c1C,410.16043
15324,*c1c(C)c(C)c(N2C(=O)c3cc(Oc4ccc(C)cc4)c(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c(C)c1C,353.57196
15325,*c1c(C)c(C)c(N2C(=O)c3cc4c(cc3C2=O)C2(C)CCC4(C)c3cc4c(cc32)C(=O)N(*)C4=O)c(C)c1C,385.64084
15521,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc6c7c(ccc(c57)C4=O)C(=O)N(*)C6=O)cc3)cc2)cc1,357.0538
15523,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc6c7ccc8c9c(ccc(c%10ccc(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3)cc2)cc1,360.49387
15526,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5cc(Cl)c6c7c(Cl)cc8c9c(cc(Cl)c(c%10c(Cl)cc(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3)cc2)cc1,374.45248
15535,*c1ccc(-c2ccc(-c3ccc(N4C(=O)[C@H]5[C@@H](C4=O)C4(NC(=O)c6ccccc6)C=CC5(c5ccccc5)[C@@H]5C(=O)N(*)C(=O)[C@@H]54)cc3)cc2)cc1,394.16193
15536,*c1ccc(-c2ccc(-c3ccc(N4C(=O)[C@H]5[C@@H](C4=O)C4(NC(=O)c6ccccc6)C(C)=CC5(c5ccccc5)[C@@H]5C(=O)N(*)C(=O)[C@@H]54)cc3)cc2)cc1,389.52597
15541,*c1ccc(-c2ccc(-c3ccc(N4C(=O)[C@H]5[C@@H](C4=O)C4(NC(=O)c6ccccc6)C=CC5(c5ccco5)[C@@H]5C(=O)N(*)C(=O)[C@@H]54)cc3)cc2)cc1,394.2737
15543,*c1ccc(-c2ccc(-c3ccc(N4C(=O)[C@H]5[C@@H](C4=O)C4(NC(=O)c6ccccc6)C=C(C(C)=O)C5(C)[C@@H]5C(=O)N(*)C(=O)[C@@H]54)cc3)cc2)cc1,381.36115
15555,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc6c7c(Br)cc8c9c(cc(Br)c(c%10ccc(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3)cc2)cc1,370.9581
15557,*c1ccc(-c2ccc(-c3ccc(N4C(=O)[C@H]5[C@@H](C4=O)C4(NC(=O)c6ccccc6)C=CC5(C)[C@@H]5C(=O)N(*)C(=O)[C@@H]54)cc3)cc2)cc1,388.72076
15559,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5cc(Br)c6c7c(Br)cc8c9c(cc(Br)c(c%10c(Br)cc(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3)cc2)cc1,376.5734
15561,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5cc6c(cc5C4=O)C(C(F)(F)F)(C(F)(F)F)c4cc5c(cc4O6)C(=O)N(*)C5=O)cc3)cc2)cc1,383.5715
15564,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc(N=Nc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)cc2)cc1,354.06427
15581,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc6c7ccc8c9c(cnc(c%10ncc(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3)cc2)cc1,381.2291
15584,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5cc6c(cc5C4=O)C4(C)c5ccccc5C6(C)c5cc6c(cc54)C(=O)N(*)C6=O)cc3)cc2)cc1,366.10703
15591,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc6c7c(-n8c9ccccc9c9ccccc98)cc8c9c(ccc(c%10c(-n%11c%12ccccc%12c%12ccccc%12%11)cc(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3)cc2)cc1,358.96762
15595,*c1ccc(-c2ccc(-c3ccc(N4C(=O)[C@H]5[C@@H](C4=O)C4(NC(=O)c6ccccc6)C(C)=CC5(c5cccs5)[C@@H]5C(=O)N(*)C(=O)[C@@H]54)cc3)cc2)cc1,390.24393
15600,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc6c7c(N(C)C)cc8c9c(ccc(c%10c(N(C)C)cc(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3)cc2)cc1,366.29996
15603,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc6c7c(C#CC(c8ccccc8)(c8ccccc8)c8ccccc8)cc8c9c(ccc(c%10c(C#CC(c%11ccccc%11)(c%11ccccc%11)c%11ccccc%11)cc(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3)cc2)cc1,359.8527
15609,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5cc(C#CC(c6ccccc6)(c6ccccc6)c6ccccc6)c6c7ccc8c9c(ccc(c%10c(C#CC(c%11ccccc%11)(c%11ccccc%11)c%11ccccc%11)cc(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3)cc2)cc1,359.9232
15611,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5cc6c(cc5C4=O)C4(C(C)C)c5ccccc5C6(C(C)C)c5cc6c(cc54)C(=O)N(*)C6=O)cc3)cc2)cc1,381.23547
15614,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc6c7c(Br)cc8c9c(cc(Br)c(c%10c(Br)cc(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3)cc2)cc1,370.9978
15615,*c1ccc(-c2ccc(-c3ccc(N4C(=O)[C@H]5[C@@H](C4=O)C4(NC(=O)c6ccccc6)C=CC5(c5cccs5)[C@@H]5C(=O)N(*)C(=O)[C@@H]54)cc3)cc2)cc1,394.9044
15632,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc6c7c(-c8ccc([N+](=O)[O-])cc8)cc8c9c(ccc(c%10c(-c%11ccc([N+](=O)[O-])cc%11)cc(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3)cc2)cc1,354.69186
15633,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5cnc6c7ncc8c9c(cnc(c%10ncc(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3)cc2)cc1,396.30655
15636,*c1ccc(-c2ccc(-c3ccc(N(C(=O)C=CC(=O)O)C(=O)c4cc(C(=O)N(*)C(=O)C=CC(=O)O)c(C(=O)O)cc4C(=O)O)cc3)cc2)cc1,357.97195
15640,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc([Si](c6ccccc6)(c6ccccc6)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)cc2)cc1,350.3707
15654,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5c(Br)c(Br)c6c7c(Br)c(Br)c8c9c(c(Br)c(Br)c(c%10c(Br)c(Br)c(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3)cc2)cc1,376.9368
15664,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)cc2)cc1,354.38657
15665,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc(S(=O)(=O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)cc2)cc1,350.90042
15669,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5cccc(-c6ccc7c(c6)C(=O)N(*)C7=O)c5C4=O)cc3)cc2)cc1,354.9207
15680,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc6c7c(Br)cc8c9c(ccc(c%10c(Br)cc(c5c6%10)C4=O)c97)C(=O)N(*)C8=O)cc3)cc2)cc1,369.89603
15682,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5cccc(-c6cccc7c6C(=O)N(*)C7=O)c5C4=O)cc3)cc2)cc1,361.87204
15687,*c1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc6c7c(cc(Br)c(c57)C4=O)C(=O)N(*)C6=O)cc3)cc2)cc1,375.09207
