Smiles,Tg/℃
[*][Si](C1=CC=CC=C1)(C1=CC=C(N(C)C)C=C1)CCC[*],51.85
[*]CC(C)(C(=O)OC(C)C)[*],53.85
[*]CC1=CC=C(C(C)=C1)C[*],54.85
[*]CC(C(=O)C(C)C)[*],55.85
[*]CC(C1=CC=C(C=C1)OCCC(C)C)[*],56.85
[*]CC(C)(C(=O)OC(C)CC)[*],56.85
[*]C(=O)CCCCCCN[*],56.85
[*]C(=O)CCCCC(=O)NCCCCCCN[*],56.85
[*]C(Cl)(C(=O)OCCCC)C[*],56.85
[*]O[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC(=CC=C1)[*],57.85
[*]CC(C(F)(F)C(F)(F)C(F)(F)F)[*],57.85
[*]CC(CC1CCCC1)[*],59.85
[*]CC(CC1=CC=CC=C1)[*],59.85
[*]CC1=CC=C(C=C1)C[*],59.85
[*]NCCCCCC(=O)[*],61.85
[*]OC(=O)C1=CC=C(C2=CC=CC=C12)C(=O)OCC[*],63.85
[*]CC(C1=CC=C(C=C1)OCCC)[*],69.85
[*]C(Cl)(C(=O)OCCC)C[*],70.85
[*]OC(=O)C1=CC=CC2=C(C=CC=C12)C(=O)OCC[*],70.85
[*]CC(C(C)C(=O))[*],71.85
[*]CCOC(=O)C1=CC=C(C=C1)C(=O)O[*],71.85
[*]C(Cl)(C(=O)OC(C)CC)C[*],73.85
[*]CC(CC1CCCCC1)[*],74.85
[*]CC(C1CCCC1)[*],74.85
[*]CC(Cl)[*],74.85
[*]CC(C)(C(=O)OCC(O)C)[*],75.85
[*]CC(C1=CC=C(C=C1)COC)[*],76.85
[*]CC1=CC=C(C(Cl)=C1)C[*],79.85
[*]CC1=CC=C(C(Br)=C1)C[*],79.85
[*]CC(OC(=O)C)[*],81.85
[*]OC1=CC=C(C=C1)C(=O)OCC[*],81.85
[*]CC(O)[*],84.85
[*]C1=CC=C(C=C1)O[*],84.85
[*]CC(C1=CC=C(C=C1)C(C)CC)[*],85.85
[*]CC(C1=CC=C(C=C1)OCC)[*],85.85
[*]CC(C)(C(=O)OCCO)[*],85.85
[*]CC(C1=C(C)C=CC(=C1)C(C)(C)C)[*],86.85
[*]CC(C1=CC=C(C=C1)C(C)C)[*],86.85
[*]C1=CC=C(C=C1)S[*],86.85
[*]CC(C1=CC=C(C=C1)OC)[*],88.85
[*]CC(C1CCCCC1)[*],89.85
[*]CC(C1=C(C)C=C(C=C1)OC)[*],89.85
[*]CC1=CC=C(C(C#N)=C1)C[*],89.85
[*]C(=O)CCCCC(=O)NCC1=CC=CC(=C1)CN[*],89.85
[*]CC(C1=CC(Cl)=C(C=C1))[*],89.85
[*]C(Cl)(C(=O)OC(C)C)C[*],89.85
[*]C(F)(F)C1=CC=C(C=C1)C(F)(F)[*],89.85
[*]CC(C)(C(=O)OCCCl)[*],91.85
[*][Si](C)(C1CCCCC1)[*],92.85
[*]CC(Cl)(C(=O)OCC)[*],92.85
[*]C(=O)C1=CC=C(C=C1)C(=O)OCC1CCC(CC1)CO[*],94.85
[*]CC(C1=CC(C)=C(C=C1))[*],96.85
[*]CC1=C(C)C=C(C(C)=C1)C[*],99.85
[*]CC(C1=CC=CC=C1)[*],99.85
[*]C1=CC=C(C=C1)C(C)(C)C1=CC=C(C=C1)OCC(O)CO[*],99.85
[*]C(F)(F)C(F)(Cl)[*],99.85
[*]CC(C1=CC=C(C=C1)C)[*],100.85
[*]CC(C1=C(F)C=C(C(F)=C1))[*],100.85
[*]CC(C1=C(CC)C=C(C=C1))[*],102.85
[*]CC(C1=CC(C)=C(C(C)=C1))[*],103.85
[*]CC(C)(C(=O)OC1CCCCC1)[*],103.85
[*]CC(C1=NC=CC=C1)[*],103.85
[*]CC(C#N)[*],104.85
[*]CC(C)(C(=O)OC)[*],104.85
[*]CC1OCOC(C1)[*],104.85
[*]CC(C1=C(F)C=C(C=C1))[*],104.85
[*]CC(C1=C(F)C(F)=C(F)(C(F)=C1(F)))[*],104.85
[*]CC(C1=CC=C(C=C1)F)[*],105.85
[*]CC(C(=O)O)[*],105.85
[*]CC(C)(C(=O)OC(C)(C)C)[*],106.85
[*]CC(C1=CC(C)=C(C=C1)C)[*],110.85
[*]CC(C1=C(F)C=C(C(C)=C1))[*],110.85
[*]C1=CC=CC(=C1)NC(=O)CCCC(=O)NC1=CC=CC(=C1)OCC(O)CO[*],110.85
[*]CC(C1=C(C)C=C(C=C1)C)[*],111.85
[*]CC(C1=CC=C(C=C1)C(=O)OC)[*],112.85
[*]CC(C1=CC(C)=C(C=C1)Cl)[*],113.85
[*]C(Cl)(C(=O)OC1CCCCC1)C[*],113.85
[*]NCC1=CC=C(C=C1)CNC(=O)CCCCCCCCC(=O)[*],114.85
[*]C1=CC=C(C=C1)SC1=CC=C(C=C1)OC(=O)O[*],114.85
[*]CC(C1=CC=C(C=C1)Cl)[*],115.85
[*][Si](C)(C1=CC=CC=C1)[*],116.85
[*]C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(C1(F)(F))[*],116.85
[*]C1=CC(C)=C(C=C1)C(C)(CC)C1=C(C)C=C(C=C1)OC(=O)O[*],118.85
[*]CC(C1=C(Cl)C=C(C=C1))[*],118.85
[*]CC(C)(C(=O)OC1=CC=CC=C1)[*],119.85
[*]CC(C)(C#N)[*],119.85
[*]CC(C1=C(Cl)C=C(C(Cl)=C1))[*],119.85
[*]CC(C)(C1=CC=C(C=C1)C)[*],120.85
[*]CC(C1=CC(F)=C(C=C1)Cl)[*],121.85
[*]C1=CC=C(C=C1)C(CCC)C1=CC=C(C=C1)OC(=O)O[*],122.85
[*]OCCOC(=O)C2=CC1=CC=C(C=C1C=C2)C(=O)[*],123.85
[*]CC(C1=CC(CO)=C(C=C1))[*],124.85
[*]OC1=CC=C(C=C1)OC1=CC=C(C=C1)OC1=CC=C2C(=O)N(C(=O)C2=C1)CCCCCCN1C(=O)C2=CC=C(C=C2C1(=O))[*],127.85
[*]CC(C1=CC(Cl)=C(C=C1)Cl)[*],127.85
[*]CC(C1=CC=C(C=C1)C(C)(C)C)[*],128.85
[*]NCCCCCCNC(=O)C1=CC=CC(=C1)C(=O)[*],129.85
[*]C1=CC=C(C=C1)C(C)C1=CC=C(C=C1)OC(=O)O[*],129.85
[*]CC(C1=C(Cl)C=C(C=C1)Cl)[*],132.85
[*]C1=CC=C(C=C1)C(C)(CC)C1=CC=C(C=C1)OC(=O)O[*],133.85
[*]CC(C1=CC=CC=C1(C))[*],135.85
[*]CC(C)(C1=CC=CC=C1)[*],135.85
[*]C1=CC=C(C=C1)C(C)(CCC)C1=CC=C(C=C1)OC(=O)O[*],136.85
[*]C1=C(C)C=C(C=C1)C(C)(C)C1=CC=C(C(Cl)=C1)OC(=O)O[*],137.85
[*]C(=O)C1=CC=CC(=C1)C(=O)OC1=CC=CC(=C1)O[*],137.85
[*]CC(C1=CC=C(C=C1)C1=CC=CC=C1)[*],137.85
[*]CC(C1=CC=C(C=C1)CO)[*],139.85
[*]C1=CC=C(C(Cl)=C1)C(C)(CC)C1=C(Cl)C=C(C=C1)OC(=O)O[*],141.85
[*]CC(C1=CC=NC=C1)[*],141.85
[*]CC(C1=C(C)C=C(C(C)=C1))[*],142.85
[*]CC(C1=CC=C(C=C1)Br)[*],143.85
[*]CC(N1CCCC1=O)[*],144.85
[*]CC(C1=C(C)C=C(C=C1)Cl)[*],144.85
[*]C1=CC=C(C=C1)C(C)(C)C1=CC=C(C(Cl)=C1)OC(=O)O[*],145.85
[*]OC1=CC=C(C=C1)OC1=CC=C(C=C1)C(=O)C1=CC=C(C=C1)[*],145.85
[*]C1=CC=C(C(Cl)=C1)C(C)(C)C1=C(Cl)C=C(C=C1)OC(=O)O[*],145.85
[*]C1=CC=C(C=C1)CC1=CC=C(C=C1)OC(=O)O[*],146.85
[*]OC1=CC=C(C=C1)C(=O)[*],146.85
[*]C1=CC=C(C=C1)C(CCC)(CCC)C1=CC=C(C=C1)OC(=O)O[*],147.85
[*]C1=CC=C(C=C1)C(C(C)C)C1=CC=C(C=C1)OC(=O)O[*],148.85
[*]CC([N]1C3=C(C2=CC=CC=C12)C=CC=C3)[*],149.85
